Molecule_id,SMILES,total_donors,total_acceptors,architecture,molecular_weight,logp
2BTCz2CzTPN,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3c4sc5ccccc5c4ccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2c3sc4ccccc4c3ccc21,4,4,Multi-D/A,1001.2119999999996,18.554160000000007
APDC-DTPA,N#Cc1nc2c(nc1C#N)-c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc-2c13,2,2,2D-2A,740.8700000000001,13.294159999999977
BMIM,N#Cc1nc2c(nc1C#N)-c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc-2c13,2,2,2D-2A,740.8700000000001,13.294159999999977
ADO-TPA,O=C1C(=O)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3cccc1c23,1,0,1D-0A,425.48700000000014,7.355600000000005
DCzTrz,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)n2)cc1,2,1,D-A-D,639.7620000000002,11.066799999999985
BDPCC,c1ccc(-c2ccc3[nH]c4c(-c5ccc6c([nH]c7ccccc76)c5-c5cc(-c6ccccc6)cc6c5[nH]c5ccc(-c7ccccc7)cc56)cc(-c5ccccc5)cc4c3c2)cc1,3,0,Multi-D/A,801.993,16.592099999999977
SpiroAC-TRZ,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(N4c5ccccc5C5(c6ccccc6-c6ccccc65)c5ccccc54)cc3)n2)cc1,1,1,D-A,638.7740000000002,11.018899999999988
DBT-BZ-DMAC,CC1(C)c2ccccc2Nc2cccc(C(=O)c3ccccc3)c21.c1ccc2c(c1)sc1ccccc12,0,0,Unknown,497.6630000000001,9.354999999999997
DQP,c1ccc2nc3c(nc2c1)c1nc2ccccc2nc1c1nc2ccccc2nc31,0,6,Multi-D/A,384.40200000000016,4.975800000000002
TPA-DCPP,N#Cc1nc2c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3c2nc1C#N,2,3,Multi-D/A,766.908,13.953159999999972
2PXZ-OXD,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)o2)cc1,4,0,Multi-D/A,584.6350000000002,10.554599999999988
BmPyPhB,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)nc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)n3)cc2)c2ccccc21,3,1,Multi-D/A,931.1999999999998,17.199899999999975
MPPA,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)cc3C4=O)cc2)cc1,2,0,2D-0A,814.9380000000002,12.769999999999978
ACRFLCN,N#Cc1ccc2c(c1)C1(c3cc(C#N)ccc3-2)c2ccccc2N(c2ccccc2)c2ccccc21,1,4,Multi-D/A,457.5360000000001,7.576260000000006
PTZ-DCPP,N#Cc1nc2c3ccc(N4c5ccccc5Sc5ccccc54)cc3c3cc(N4c5ccccc5Sc5ccccc54)ccc3c2nc1C#N,4,3,Multi-D/A,674.814,11.548359999999985
BBA-Pyr,c1ccc(-c2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc(-c4ccc(-c5cc(-c6ccccc6)nc(-c6ccccc6)n5)cc4)cc3)cc2)cc1,1,1,D-A,703.8890000000002,13.94839999999997
PhICz-Pyr,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)cc4c5cc(-c6ccc(-c7cc(-c8ccccc8)nc(-c8ccccc8)n7)cc6)ccc5n3c24)cc1,2,1,D-A-D,699.8570000000002,13.628699999999974
PhCz-Pyr,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccc(-c3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)n4)cc3)cc2)cc1,1,1,D-A,701.8730000000002,13.575699999999971
