molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV
24PQ-Cz,gas,stda,-2.15e-08,-8.57e-08,3.788,3.307,0.48099999999999987,0.0519,6.228000000000001
24PQ-Cz,gas,stddft,-6.81e-08,-8.84e-08,3.769,3.269,0.5,0.4628,6.228000000000001
24PQ-Cz,toluene,stda,8.5e-09,3.98e-08,3.74,3.305,0.43500000000000005,0.0291,6.2989999999999995
24PQ-Cz,toluene,stddft,6.79e-08,6.62e-08,3.734,3.266,0.46799999999999997,0.0443,6.2989999999999995
25CzBPym,gas,stda,-2e-08,-3.16e-08,3.221,3.084,0.137,0.066,6.205
25CzBPym,gas,stddft,-2.56e-08,9.6e-09,3.207,3.076,0.13099999999999978,0.0602,6.205
25CzBPym,toluene,stda,2.39e-08,3.7e-09,3.038,2.891,0.1469999999999998,0.0654,6.0009999999999994
25CzBPym,toluene,stddft,-9.7e-09,-4.02e-08,3.022,2.884,0.1379999999999999,0.0585,6.0009999999999994
25DAcBPy,gas,stda,1.32e-08,1.88e-08,3.243,3.11,0.133,0.1461,5.004
25DAcBPy,gas,stddft,-2.29e-08,-1.51e-08,3.235,3.103,0.13199999999999967,0.1416,5.004
25DAcBPy,toluene,stda,1.99e-08,-1.87e-08,3.233,2.561,0.6720000000000002,0.2402,5.25
25DAcBPy,toluene,stddft,-3.5e-08,1.16e-07,3.203,2.524,0.6789999999999998,0.3277,5.25
25tCzBPym,gas,stda,1.8e-08,1.18e-08,3.097,2.961,0.13600000000000012,0.0614,6.035
25tCzBPym,gas,stddft,1.12e-08,-5.06e-08,3.083,2.954,0.129,0.0556,6.035
25tCzBPym,toluene,stda,-1.21e-08,-1.112e-07,2.939,2.79,0.14900000000000002,0.0682,5.8870000000000005
25tCzBPym,toluene,stddft,3.28e-08,-1.74e-08,2.923,2.783,0.14000000000000012,0.0612,5.8870000000000005
26DAcBPy,gas,stda,5.05e-08,4.66e-08,3.225,2.899,0.32600000000000007,0.3054,5.328000000000001
26DAcBPy,gas,stddft,-9.3e-09,7.02e-08,3.203,2.885,0.31800000000000006,0.278,5.328000000000001
26DAcBPy,toluene,stda,-7.5e-09,-6.7e-08,3.137,2.816,0.3210000000000002,0.253,5.2010000000000005
26DAcBPy,toluene,stddft,3.75e-08,2.35e-08,3.115,2.802,0.31300000000000017,0.2345,5.2010000000000005
26DCzPPy,gas,stda,8.14e-08,3.47e-08,3.825,3.406,0.41900000000000004,0.2792,6.99
26DCzPPy,gas,stddft,-4.2e-09,-1.79e-08,3.757,3.382,0.375,0.2369,6.99
26DCzPPy,toluene,stda,-2.81e-08,5.46e-08,3.869,3.41,0.4590000000000001,0.0019,6.892
26DCzPPy,toluene,stddft,4.55e-08,-3.88e-08,3.808,3.387,0.4209999999999998,0.0017,6.892
26DPXZBPy,gas,stda,4.68e-08,-1.5e-08,2.86,2.541,0.31899999999999995,0.0038,4.731
26DPXZBPy,gas,stddft,1.22e-08,-4.43e-08,2.845,2.531,0.31400000000000006,0.0039,4.731
26DPXZBPy,toluene,stda,1.44e-08,-5.91e-08,2.813,2.521,0.29200000000000026,0.0138,4.725000000000001
26DPXZBPy,toluene,stddft,3e-08,7.4e-09,2.798,2.511,0.2869999999999999,0.0149,4.725000000000001
2BFCzPy,gas,stda,-6.41e-08,4.01e-08,3.832,3.46,0.3719999999999999,0.6687,7.06
2BFCzPy,gas,stddft,-9.26e-08,1.54e-08,3.785,3.437,0.3480000000000003,0.5921,7.06
2BFCzPy,toluene,stda,-8e-08,1.4e-08,3.846,3.429,0.41700000000000026,0.4321,7.053999999999999
2BFCzPy,toluene,stddft,-2.97e-08,-1.4e-08,3.797,3.405,0.39200000000000035,0.3793,7.053999999999999
2BPy-mDTC,gas,stda,8.3e-09,2.9e-09,3.368,3.218,0.1499999999999999,0.0351,5.915999999999999
2BPy-mDTC,gas,stddft,-8.61e-08,6.49e-08,3.358,3.21,0.14800000000000013,0.036,5.915999999999999
2BPy-mDTC,toluene,stda,-4.6e-09,6.14e-08,3.328,3.172,0.1559999999999997,0.0344,5.885999999999999
2BPy-mDTC,toluene,stddft,5.01e-08,3.9e-08,3.319,3.163,0.15600000000000014,0.0365,5.885999999999999
2BTCz2CzTPN,gas,stda,-2.14e-08,-1.47e-08,3.208,2.947,0.2610000000000001,0.5055,6.170999999999999
