molecule,environment,method,S1_energy_eV,S1_wavelength_nm,S1_osc_strength,T1_energy_eV,T1_wavelength_nm,Delta_E_ST_eV,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV
2BTCz2CzTPN,toluene,stddft,2.829,438.3,0.4998,2.554,485.4,0.27500000000000036,-13.642,-7.571,6.071
2BTPA-INN,gas,stda,3.707,334.5,1.9904,3.183,389.6,0.524,-13.732,-7.578,6.153999999999999
2BTPA-INN,gas,stddft,3.691,335.9,1.8536,3.159,392.5,0.532,-13.732,-7.578,6.153999999999999
2BTPA-INN,toluene,stda,3.633,341.2,1.983,3.138,395.1,0.4950000000000001,-13.624,-7.592,6.032000000000001
2BTPA-INN,toluene,stddft,3.619,342.6,1.8661,3.115,398.1,0.504,-13.624,-7.592,6.032000000000001
2BrCPT,gas,stda,3.815,325.0,0.4898,3.38,366.8,0.43500000000000005,-14.456,-7.73,6.725999999999999
2BrCPT,gas,stddft,3.747,330.9,0.3918,3.357,369.3,0.3899999999999997,-14.456,-7.73,6.725999999999999
2BrCPT,toluene,stda,3.811,325.3,0.4827,3.365,368.4,0.44599999999999973,-14.411,-7.651,6.76
2BrCPT,toluene,stddft,3.741,331.4,0.3833,3.342,371.0,0.399,-14.411,-7.651,6.76
2C,gas,stda,3.542,350.1,1.2876,2.682,462.4,0.8599999999999999,-14.72,-8.792,5.928000000000001
2C,gas,stddft,3.473,357.0,1.1036,2.614,474.4,0.859,-14.72,-8.792,5.928000000000001
2C,toluene,stda,3.441,360.3,1.2741,2.65,467.8,0.7909999999999999,-14.544,-8.886,5.658000000000001
2C,toluene,stddft,3.38,366.8,1.1073,2.585,479.7,0.7949999999999999,-14.544,-8.886,5.658000000000001
2CM,gas,stda,3.565,347.7,0.0867,3.041,407.7,0.524,-13.642,-6.592,7.05
2CM,gas,stddft,3.473,357.0,0.066,3.015,411.2,0.45799999999999974,-13.642,-6.592,7.05
2CM,toluene,stda,3.562,348.1,0.155,3.061,405.1,0.5009999999999999,-13.595,-6.441,7.154000000000001
2CM,toluene,stddft,3.473,356.9,0.1188,3.035,408.5,0.4379999999999997,-13.595,-6.441,7.154000000000001
2Cz-DMAC-BTB,gas,stda,3.743,331.2,0.0795,3.362,368.8,0.3809999999999998,-13.53,-7.461,6.068999999999999
2Cz-DMAC-BTB,gas,stddft,3.733,332.1,0.0982,3.333,372.0,0.3999999999999999,-13.53,-7.461,6.068999999999999
2Cz-DMAC-BTB,toluene,stda,3.553,348.9,0.0257,3.358,369.3,0.19499999999999984,-13.28,-7.405,5.874999999999999
2Cz-DMAC-BTB,toluene,stddft,3.547,349.5,0.0257,3.329,372.5,0.21799999999999997,-13.28,-7.405,5.874999999999999
2Cz-DMAC-TTR,gas,stda,3.917,316.5,0.4315,3.482,356.1,0.4349999999999996,-13.833,-6.68,7.1530000000000005
2Cz-DMAC-TTR,gas,stddft,3.864,320.9,0.3655,3.46,358.4,0.4039999999999999,-13.833,-6.68,7.1530000000000005
2Cz-DMAC-TTR,toluene,stda,3.975,311.9,0.1344,3.404,364.2,0.5710000000000002,-13.672,-6.602,7.07
2Cz-DMAC-TTR,toluene,stddft,3.911,317.0,0.0418,3.383,366.5,0.528,-13.672,-6.602,7.07
2Cz-DMAC-TXO,gas,stda,3.397,365.0,0.0209,2.864,432.9,0.5329999999999999,-13.409,-7.861,5.548000000000001
2Cz-DMAC-TXO,gas,stddft,3.37,367.9,0.0549,2.838,436.8,0.532,-13.409,-7.861,5.548000000000001
2Cz-DMAC-TXO,toluene,stda,3.335,371.8,0.015,2.848,435.3,0.4870000000000001,-13.21,-7.692,5.518000000000001
2Cz-DMAC-TXO,toluene,stddft,3.318,373.7,0.0312,2.821,439.5,0.4969999999999999,-13.21,-7.692,5.518000000000001
2Cz2tCzBn,gas,stda,3.409,363.7,0.4382,3.156,392.9,0.25299999999999967,-13.991,-7.225,6.766
2Cz2tCzBn,gas,stddft,3.374,367.5,0.3864,3.145,394.3,0.2290000000000001,-13.991,-7.225,6.766
2Cz2tCzBn,toluene,stda,3.269,379.3,0.4651,2.992,414.3,0.27700000000000014,-13.497,-6.833,6.664
2Cz2tCzBn,toluene,stddft,3.229,383.9,0.4065,2.98,416.0,0.2490000000000001,-13.497,-6.833,6.664
2CzBN,gas,stda,3.746,331.0,0.1845,3.409,363.7,0.3370000000000002,-14.281,-7.289,6.992000000000001
2CzBN,gas,stddft,3.71,334.2,0.1595,3.388,365.9,0.32200000000000006,-14.281,-7.289,6.992000000000001
2CzBN,toluene,stda,3.683,336.6,0.2305,3.329,372.4,0.35399999999999965,-14.014,-7.107,6.906999999999999
2CzBN,toluene,stddft,3.648,339.8,0.2028,3.309,374.7,0.33899999999999997,-14.014,-7.107,6.906999999999999
2CzCbPy,gas,stda,3.724,332.9,0.377,3.287,377.1,0.4370000000000003,-13.953,-7.061,6.8919999999999995
2CzCbPy,gas,stddft,3.666,338.2,0.3071,3.266,379.6,0.3999999999999999,-13.953,-7.061,6.8919999999999995
2CzCbPy,toluene,stda,3.703,334.8,0.3323,3.246,382.0,0.45699999999999985,-13.922,-6.957,6.965000000000001
2CzCbPy,toluene,stddft,3.641,340.6,0.2662,3.224,384.6,0.4169999999999998,-13.922,-6.957,6.965000000000001
2CzMC,gas,stda,3.77,328.9,0.135,3.204,386.9,0.5659999999999998,-14.317,-7.125,7.192
2CzMC,gas,stddft,3.708,334.4,0.1216,3.167,391.5,0.5410000000000004,-14.317,-7.125,7.192
2CzMC,toluene,stda,3.686,336.4,0.1907,3.072,403.6,0.6139999999999999,-14.323,-7.297,7.026000000000001
