molecule,environment,method,S1_overlap,T1_overlap,S1_energy_eV,T1_energy_eV,Delta_E_ST_eV,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Char_diff_squared,S_NTO_sum,S_NTO_product,Log_Abs_S1,Log_Abs_T1,S_NTO_ratio,S1_CT_number,S1_Lambda_D,S1_Lambda_A,S1_hole_on_A,S1_particle_on_D,S1_Delta_r,S1_S_he,T1_CT_number,T1_Lambda_D,T1_Lambda_A,T1_hole_on_A,T1_particle_on_D,T1_Delta_r,T1_S_he,Delta_CT_number,Abs_Delta_CT_number,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,Delta_Delta_r,Abs_Delta_Delta_r,Delta_S_he,Abs_Delta_S_he
1SBFN,toluene,stda,-9.54e-08,-1.66e-08,4.217,3.339,0.8779999999999997,0.9185,7.471999999999999,7.879999999999999e-08,7.879999999999999e-08,6.209439999999999e-15,-1.12e-07,1.5836399999999998e-15,-7.019996628416254,-7.777283528852417,0.1740041928721174,,,,,,,,,,,,,,,,,,,,,,,,
1SBFN,toluene,stddft,5.97e-08,-9.5e-08,4.145,3.287,0.8579999999999997,0.7499,7.471999999999999,-1.547e-07,1.547e-07,2.393209e-14,-3.5300000000000005e-08,-5.6715e-15,-7.22329881601159,-7.021819483062586,-1.5912897822445562,,,,,,,,,,,,,,,,,,,,,,,,
2-TA-AN,gas,stda,-2.68e-08,1.249e-07,3.404,2.318,1.086,0.3916,6.196000000000001,1.517e-07,1.517e-07,2.3012889999999995e-14,9.810000000000001e-08,-3.3473199999999997e-15,-7.570247719997592,-6.903089986991944,-4.66044776119403,,,,,,,,,,,,,,,,,,,,,,,,
2-TA-AN,gas,stddft,5.63e-08,3.53e-08,3.225,2.245,0.98,0.271,6.196000000000001,-2.1000000000000003e-08,2.1000000000000003e-08,4.410000000000001e-16,9.16e-08,1.98739e-15,-7.248720896016658,-7.450996737974212,0.6269982238010656,,,,,,,,,,,,,,,,,,,,,,,,
2-TA-AN,toluene,stda,9e-10,-2.68e-08,3.41,2.309,1.101,0.3893,6.279000000000001,-2.77e-08,2.77e-08,7.6729e-16,-2.59e-08,-2.412e-17,-9.0,-7.570247719997592,-29.77777777777777,,,,,,,,,,,,,,,,,,,,,,,,
2-TA-AN,toluene,stddft,-5.37e-08,8.83e-08,3.23,2.236,0.9939999999999998,0.2711,6.279000000000001,1.42e-07,1.42e-07,2.0164e-14,3.4600000000000005e-08,-4.74171e-15,-7.269217724333611,-7.053547734986927,-1.644320297951583,,,,,,,,,,,,,,,,,,,,,,,,
23AcCz-PM,gas,stda,1.98e-08,-1.96e-08,3.568,3.234,0.3340000000000001,0.1713,5.978000000000001,-3.94e-08,3.94e-08,1.5523599999999996e-15,1.9999999999999848e-10,-3.8808e-16,-7.701146923590294,-7.705533773838407,-0.98989898989899,,,,,,,,,,,,,,,,,,,,,,,,
23AcCz-PM,gas,stddft,-2.92e-08,-4.61e-08,3.556,3.206,0.3500000000000001,0.1735,5.978000000000001,-1.6900000000000002e-08,1.6900000000000002e-08,2.8561000000000007e-16,-7.53e-08,1.34612e-15,-7.533132379645891,-7.335358024443875,1.5787671232876712,,,,,,,,,,,,,,,,,,,,,,,,
23AcCz-PM,toluene,stda,5.1e-09,9.06e-08,3.601,3.198,0.403,0.267,5.975,8.55e-08,8.55e-08,7.31025e-15,9.57e-08,4.620600000000002e-16,-8.2839966563652,-7.042392712939905,17.764705882352942,,,,,,,,,,,,,,,,,,,,,,,,
23AcCz-PM,toluene,stddft,-6.1e-09,-5.23e-08,3.586,3.17,0.4159999999999999,0.2758,5.975,-4.62e-08,4.62e-08,2.13444e-15,-5.84e-08,3.1903e-16,-8.207608310501746,-7.280668713016273,8.573770491803279,,,,,,,,,,,,,,,,,,,,,,,,
24PQ-Cz,gas,stda,-2.15e-08,-8.57e-08,3.788,3.307,0.4809999999999998,0.0519,6.228000000000001,-6.42e-08,6.42e-08,4.1216400000000004e-15,-1.0720000000000001e-07,1.8425500000000003e-15,-7.665546248849069,-7.066512712151295,3.986046511627907,,,,,,,,,,,,,,,,,,,,,,,,
24PQ-Cz,gas,stddft,-6.81e-08,-8.84e-08,3.769,3.269,0.5,0.4628,6.228000000000001,-2.0300000000000003e-08,2.0300000000000003e-08,4.120900000000001e-16,-1.565e-07,6.020039999999999e-15,-7.166215625343521,-7.053056729302175,1.2980910425844348,,,,,,,,,,,,,,,,,,,,,,,,
24PQ-Cz,toluene,stda,8.5e-09,3.98e-08,3.74,3.305,0.435,0.0291,6.299,3.13e-08,3.13e-08,9.796899999999998e-16,4.83e-08,3.383e-16,-8.065501548756432,-7.399027104313252,4.682352941176471,,,,,,,,,,,,,,,,,,,,,,,,
24PQ-Cz,toluene,stddft,6.79e-08,6.62e-08,3.734,3.266,0.4679999999999999,0.0443,6.299,-1.7000000000000084e-09,1.7000000000000084e-09,2.8900000000000293e-18,1.3410000000000004e-07,4.49498e-15,-7.167491087293763,-7.178486471595227,0.974963181148748,,,,,,,,,,,,,,,,,,,,,,,,
25CzBPym,gas,stda,-2e-08,-3.16e-08,3.221,3.084,0.137,0.066,6.205,-1.1599999999999998e-08,1.1599999999999998e-08,1.3455999999999996e-16,-5.16e-08,6.32e-16,-7.696803942579511,-7.498940737782249,1.5799999999999998,,,,,,,,,,,,,,,,,,,,,,,,
25CzBPym,gas,stddft,-2.56e-08,9.6e-09,3.207,3.076,0.1309999999999997,0.0602,6.205,3.52e-08,3.52e-08,1.23904e-15,-1.6e-08,-2.4576e-16,-7.590066876668706,-8.013228265733755,-0.375,,,,,,,,,,,,,,,,,,,,,,,,
