Molecule,Environment,Transition,Method,Overlap_1_2,Status
2,7-MeCzOXD,gas,S0T1,stddft,0.0000000360,Success
2,7-MeCzOXD,toluene,S0S1,stda,0.0000000336,Success
2,7-MeCzOXD,toluene,S0S1,stddft,0.0000000956,Success
2,7-MeCzOXD,toluene,S0T1,stda,-0.0000001241,Success
2,7-MeCzOXD,toluene,S0T1,stddft,0.0000000355,Success
2BFCzPy,gas,S0S1,stda,-0.0000000641,Success
2BFCzPy,gas,S0S1,stddft,-0.0000000926,Success
2BFCzPy,gas,S0T1,stda,0.0000000401,Success
2BFCzPy,gas,S0T1,stddft,0.0000000154,Success
2BFCzPy,toluene,S0S1,stda,-0.0000000800,Success
2BFCzPy,toluene,S0S1,stddft,-0.0000000297,Success
2BFCzPy,toluene,S0T1,stda,0.0000000140,Success
2BFCzPy,toluene,S0T1,stddft,-0.0000000140,Success
2BPy-mDTC,gas,S0S1,stda,0.0000000083,Success
2BPy-mDTC,gas,S0S1,stddft,-0.0000000861,Success
2BPy-mDTC,gas,S0T1,stda,0.0000000029,Success
2BPy-mDTC,gas,S0T1,stddft,0.0000000649,Success
2BPy-mDTC,toluene,S0S1,stda,-0.0000000046,Success
2BPy-mDTC,toluene,S0S1,stddft,0.0000000501,Success
2BPy-mDTC,toluene,S0T1,stda,0.0000000614,Success
2BPy-mDTC,toluene,S0T1,stddft,0.0000000390,Success
2BrCPT,gas,S0S1,stda,0.0000000402,Success
2BrCPT,gas,S0S1,stddft,0.0000000790,Success
2BrCPT,gas,S0T1,stda,0.0000000372,Success
2BrCPT,gas,S0T1,stddft,-0.0000000415,Success
2BrCPT,toluene,S0S1,stda,-0.0000000151,Success
2BrCPT,toluene,S0S1,stddft,-0.0000001238,Success
2BrCPT,toluene,S0T1,stda,-0.0000000308,Success
2BrCPT,toluene,S0T1,stddft,-0.0000000595,Success
2BTCz2CzTPN,gas,S0S1,stda,-0.0000000214,Success
2BTCz2CzTPN,gas,S0S1,stddft,0.0000000787,Success
2BTCz2CzTPN,gas,S0T1,stda,-0.0000000147,Success
2BTCz2CzTPN,gas,S0T1,stddft,-0.0000000067,Success
