molecule,Delta_E_ST_eV,S1_energy_eV,T1_energy_eV,S1_S_he,T1_S_he,Delta_S_he,Abs_Delta_S_he,S1_CT_number,T1_CT_number,Delta_CT_number,Abs_Delta_CT_number,S1_Lambda_D,S1_Lambda_A,T1_Lambda_D,T1_Lambda_A,Delta_Lambda_D,Abs_Delta_Lambda_D,Delta_Lambda_A,Abs_Delta_Lambda_A,S1_Delta_r,T1_Delta_r,Delta_Delta_r,Abs_Delta_Delta_r,S1_hole_on_A,S1_particle_on_D,T1_hole_on_A,T1_particle_on_D,Char_diff_squared,S_NTO_sum,S_NTO_product,S_NTO_ratio,S1_osc_strength,HOMO_LUMO_gap_eV,Delta_S_NTO,Abs_Delta_S_NTO,Log_Abs_S1,Log_Abs_T1,S1_overlap,T1_overlap
2Cz2tCzBn,0.2529999999999996,-0.04380816426511757,-0.09991797410228151,-0.0009518084066528145,-0.007070620495016316,0.0,0.0,0.0,0.0,0.0,-0.0015703078083049286,-0.0006729516968071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006223263972780791,0.0,0.0,0.0,-0.00039771436224417256,0.0,0.0,0.0,0.0,-0.0011314303438231179,0.0,0.0,0.0,-0.002725687089722526,0.0,0.0,0.0
2CzBN,0.3370000000000002,0.16091861501440133,-0.23667206331011872,0.0,-0.00408961515233908,-0.0072096024785398465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031973000073519677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00443537132873123,0.0,0.0,0.0,0.0,-0.002598716093434116,0.0,0.0,0.0,0.0,-0.0011094037746760313,-0.006247528607380718,0.0,0.0,-0.0021197306615304322,0.0
2CzCbPy,0.4370000000000003,0.11855701896321966,-0.14343479984169477,0.0037079510842652885,0.0,0.0,0.0,0.0,0.009283530582586972,0.0,0.0,-0.015016255633347428,0.0,0.0,-0.0015758328559221792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053567455808902886,0.00640351245393028,0.0,0.005569012810318164,0.0,0.004523836527763529,0.0
2CzMC,0.5659999999999998,0.18476311840701676,-0.11834151900048281,0.004857283973904412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243926589724644,0.0,0.0,0.0,0.0,0.0,0.009609495047414453,0.0,0.0,0.0,0.0,0.0,0.0,0.0023766626083452434,0.0,0.005398277038409065,0.0,0.0,0.0,0.00606457495270624,0.0008786126722263809,0.0,0.0,0.0,0.008362391477869652,0.0
2CzP-INN,0.4530000000000003,0.08521657256366019,-0.12543206858037664,0.0,-0.012991742278509324,0.0,0.0,0.0,0.0,0.01106347861063969,0.0029042919531298973,0.0,0.004592264196141281,0.0,0.01781978806364252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026219345434506224,0.0,0.00427791044691539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064501821329716515,0.0
2CzPN,0.3199999999999998,-0.021520145407584897,-0.08344017020601927,-0.001921449844654313,-0.0022300759761324966,0.0,0.0,0.0,0.0,-0.0006678034357534279,-0.0010693248834638383,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008710451474105152,-0.0031149761596349517,0.0,0.0,0.0,-0.004761897509494227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039279973321975255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2CzPy,0.4590000000000001,0.1445808835238215,-0.1586451561320849,0.007511027256672888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012590612001300417,0.0,-0.0034209559796020317,0.008864657043623428,-0.010964803548772755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009845051342845407,0.0,0.0,0.009613749550993141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004904449294599199,0.0,0.0,0.0
2CzTPE,0.7170000000000001,0.08258314274162556,0.09799268055570194,0.02675078781274626,0.03923684445173583,0.0,0.0,0.0,0.0,0.0,0.006771763426295046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037376415659437856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004238575619061788,0.0,0.0,0.0017690339150577272,0.0,0.0,0.00425253983889351,0.0,0.0,0.006049208385533406
2CzTPEPCz,0.5690000000000004,0.2750974772319897,-0.20633711952835343,0.0,0.02773731448456105,0.0,-0.008076020721652158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00856963084292335,0.0,0.005177236694014937,0.0,0.0,0.0,0.0,0.0,-0.007079302766645035,0.0,0.0,0.0,0.014351344774100619,0.006416972769513327,0.0,0.0,0.0,0.007108464114963748,0.0,0.0
2DMAC-BP-F,0.585,-0.2382527360701542,0.3377562321897192,0.0,0.00805865764950868,0.001939304696291082,-0.01081070583366453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002151329235578145,0.0,0.0005197457565549735,0.004655464009402035,0.0,0.0008625382396296739,0.0,0.0,0.0,0.0,0.014058469912187194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
