molecule_id,SMILES_canonical,pred_delta_EST_eV,PI_low_eV,PI_high_eV,MW,n_aromatic_rings
MOL_017451,O=C(C[C@@]1(O)C(=O)N(Cc2ccc(Cl)cc2)c2ccccc21)c1cccnc1,0.051,-0.127,0.229,392.84,3.0
MOL_012843,Cn1c(N[C@H]2CC(=O)N(c3ccc(Cl)cc3Cl)C2=O)cc(=O)n(C)c1=O,0.051,-0.127,0.229,397.22,2.0
MOL_007313,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCNCC3)c(Cl)cc2c1=O,0.051,-0.127,0.229,365.79,2.0
MOL_003199,O=c1[nH]c2ccc(Cl)cc2c(=O)n1CCN1CCN(c2ccccc2)CC1,0.051,-0.127,0.229,384.87,3.0
MOL_017498,Nc1c(C(=O)N(c2ccccc2)c2ccccc2)sc2[nH]c(=O)c(C(=O)O)cc12,0.051,-0.127,0.229,405.44,4.0
MOL_021800,O=C(C[C@H]1C(=O)N(c2cccc(Cl)c2)C(=S)N1Cc1ccccn1)Nc1ccccc1,0.051,-0.127,0.229,450.95,3.0
MOL_005877,CC(=O)c1c(CN2CCN(c3ccc(Cl)cc3)CC2)n([O-])c2cc(Cl)c(Cl)cc2[n+]1=O,0.051,-0.127,0.229,481.77,3.0
MOL_003203,O=c1[nH]c2ccc(Cl)cc2c(=O)n1CCCCN1CCN(c2ccccc2)CC1,0.052,-0.126,0.23,412.92,3.0
MOL_017716,CSc1ncc(/C=C2\C(=O)NC(=O)N(c3ccccc3Cl)C2=O)cn1,0.052,-0.126,0.23,374.81,2.0
MOL_017717,CSc1ncc(/C=C2/C(=O)NC(=O)N(c3ccccc3Cl)C2=O)cn1,0.052,-0.126,0.23,374.81,2.0
MOL_001697,Cl.O=C(CCc1ccncc1)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,0.052,-0.126,0.23,459.33,3.0
MOL_012536,CN(C)c1nc(N(C)C)nc(N2CC(=O)N(c3ccc(Cl)cc3Cl)C2=N)n1,0.052,-0.126,0.23,409.28,2.0
MOL_001698,O=C(CCc1ccncc1)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,0.052,-0.126,0.23,422.87,3.0
MOL_021370,Cc1c(Cl)ccc2c1NC(=O)[C@@]21C(C#N)=C(N)N(c2ccc(F)cc2F)C2=C1C(=O)CCC2,0.052,-0.126,0.23,466.88,2.0
