molecule,heavy_atoms,atoms_with_H,exp_dEST_eV,sTDA_dEST_eV,S1_eV,T1_eV,dEST_eV,states_parsed,terminated_normally,wall_seconds,retained_bytes,smiles
TXO-P-Si,42,68,0.47750000000000004,-0.0090000000000003,3.816,3.295,0.521,True,True,878.6,416502,O=C1c2ccccc2S(=O)(=O)c2ccc(-c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)cc21
DiCz-Sac,42,69,0.2,0.3289999999999997,4.304,3.538,0.766,True,True,834.8,407899,CC(C)(C)N1C(=O)c2cc(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)cc2S1(=O)=O
OPDPO,42,68,0.13,0.3169999999999997,3.957,3.246,0.711,True,True,646.3,394747,O=C(c1ccc(N2c3ccccc3Sc3ccccc32)cc1)c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1
MeOCzPCN,42,67,0.01,0.6039999999999996,4.16,3.453,0.707,True,True,666.9,297626,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ncnc(-n2c3ccc(OC)cc3c3cc(OC)ccc32)c1C#N
DAcIPN,42,72,0.03,0.4939999999999998,3.488,3.464,0.024,True,True,711.2,306895,CC1(C)c2ccccc2N(c2cc(N3c4ccccc4C(C)(C)c4ccccc43)c(C#N)cc2C#N)c2ccccc21
DPE-DPXZ,42,66,0.2,0.3840000000000003,4.264,3.343,0.921,True,True,578.4,244379,C(#Cc1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc(N2c3ccccc3Oc3ccccc32)cc1
DBCP,42,63,0.1,0.0859999999999998,3.758,3.006,0.752,True,True,582.1,217670,c1ccc2c(c1)Oc1ccccc1N2c1cc2c3ccccc3c3ccc4ccc5c6ccccc6c1c1c5c4c3c21
BzITz,42,63,0.17,0.4159999999999999,4.321,3.424,0.897,True,True,649.2,291884,N#Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccccc2n2c3ccccc3nc12
3CzPhpPM,43,70,0.33,0.403,4.55,3.513,1.037,True,True,600.0,297597,c1ccc(-c2ccc3c(c2)c2ccccc2n3-c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)cc1
IpCm-PhBzAc,43,74,0.35,0.6590000000000003,4.276,3.356,0.92,True,True,677.5,284206,CC(C)c1ccc2occ(-c3ccc(N4c5ccccc5C(C)(C)c5cc6c(cc54)oc4ccccc46)cc3)c(=O)c2c1
PSPBP,43,66,0.11,0.3730000000000002,4.1,3.385,0.715,True,True,612.4,545731,O=S(=O)(c1cccnc1)c1cc(N2c3ccccc3Oc3ccccc32)cc(N2c3ccccc3Oc3ccccc32)c1
DMAC-PCN,44,72,0.13,0.2290000000000001,4.623,3.321,1.302,True,True,645.0,371515,CC1(C)c2ccccc2N(c2ccc(-c3c(C#N)c(-c4ccccc4)nc(-c4ccccc4)c3C#N)cc2)c2ccccc21
