molecule,heavy_atoms,atoms_with_H,exp_dEST_eV,sTDA_dEST_eV,S1_eV,T1_eV,dEST_eV,states_parsed,terminated_normally,wall_seconds,retained_bytes,smiles
BDAVBi,54,94,0.83,0.6509999999999998,3.807,2.576,1.231,True,True,1016.1,483128,C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1
2DMAC-BP-F,55,92,0.195,0.585,3.82,2.841,0.979,True,True,1035.2,291352,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4c(F)cccc4nc32)c2ccccc21
2PN,55,92,0.01,0.1939999999999999,3.275,2.616,0.659,True,True,1196.4,627155,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4Oc4ccccc43)cc3cc(N4c5ccccc5Oc5ccccc54)cc(c23)C1=O
CN-TPA,55,93,0.08,0.5669999999999997,3.553,2.677,0.876,True,True,1242.5,644828,CC(C)(C)c1ccc(N(c2ccc(-c3cc4nc5c6ccc(C#N)cc6c6cc(C#N)ccc6c5nc4cc3C#N)cc2)c2ccc(C(C)(C)C)cc2)cc1
2F,55,90,0.1,0.4500000000000002,3.948,3.251,0.697,True,True,1095.3,412826,c1ccc(N(c2ccccc2)c2ccc3c(c2)c2cc(N(c4ccccc4)c4ccccc4)ccc2n3-c2ccc(-c3ccc4nccnc4c3)cc2)cc1
SPFS-PXZ,56,86,0.013,0.3850000000000002,4.078,3.37,0.708,True,True,1249.7,508328,O=S1(=O)c2ccc(N3c4ccccc4Oc4ccccc43)cc2C2(c3ccccc3-c3ccccc32)c2cc(N3c4ccccc4Oc4ccccc43)ccc21
SFI23pPM,56,89,0.33,0.3890000000000002,4.449,3.427,1.022,True,True,1234.3,348024,c1ccc(-c2cc(-c3ccc(-n4c5ccccc5c5cc6c(cc54)C4(c5ccccc5-c5ccccc54)c4ccccc4-6)cc3)nc(-c3ccccc3)n2)cc1
mP2MPC,56,93,0.65,0.3929999999999998,4.418,3.278,1.14,True,True,1336.2,727307,Cc1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)c(C)cc1-c1cccc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccccc2)c1
DCPDAPM,56,93,0.1,0.1110000000000002,3.961,3.377,0.584,True,True,1410.0,541609,CC1(C)c2ccccc2N(c2ccc(C(=O)c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc2)c2ccccc21
DHPZ-2BI,56,90,0.19,0.242,3.775,3.011,0.764,True,True,1256.8,526997,c1ccc(-n2c(-c3ccc(N4c5ccccc5N(c5ccc(-c6nc7ccccc7n6-c6ccccc6)cc5)c5ccccc54)cc3)nc3ccccc32)cc1
BP-mDTC,56,112,0.03,0.2999999999999998,3.982,3.383,0.599,True,True,1318.4,403861,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(C(=O)c2ccccc2)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1
36DTPAFM,56,90,0.12,0.3489999999999997,3.133,2.354,0.779,True,True,1025.9,367244,N#CC(C#N)=C1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2-c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc21
25tCzBPym,56,110,0.045,0.1360000000000001,3.786,3.335,0.451,True,True,1399.4,555645,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C(=O)c2cncnc2)c1
2Cz-DMAC-TXO,57,92,0.036,0.5329999999999999,4.033,3.399,0.634,True,True,1157.3,375183,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3sc4ccccc4c(=O)c3c2)c2ccc(-n3c4ccccc4c4ccccc43)cc21
2Cz-DMAC-BTB,57,92,0.02,0.3809999999999998,4.262,3.481,0.781,True,True,1191.4,375745,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3c(c2)-c2ccccc2S3(=O)=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21
1CzSO,57,111,0.215,0.4479999999999999,4.46,3.354,1.106,True,True,1380.0,394358,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc2c(c1)-c1cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)ccc1S2(=O)=O
m-CZ-DPS-DMAC,57,94,0.21,0.4239999999999999,4.411,3.675,0.736,True,True,1585.0,546968,CC1(C)c2ccccc2N(c2cccc(S(=O)(=O)c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c2)c2ccccc21
pDTCz-2DPyS,57,111,0.21,0.359,4.511,3.651,0.86,True,True,1135.5,421064,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(S(=O)(=O)c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cn2)nc1
SBA-2DPS,57,91,0.09,0.5909999999999997,4.435,3.756,0.679,True,True,1154.9,373865,O=S(=O)(c1ccccc1)c1ccc(N2c3ccccc3C3(c4ccccc42)c2ccccc2N(c2ccc(S(=O)(=O)c4ccccc4)cc2)c2ccccc23)cc1
SBTF,57,91,0.2,0.7359999999999998,4.006,2.647,1.359,True,True,1249.1,555877,c1ccc2c(c1)-c1ccccc1C21c2c(ccc3cc(-c4ccc5ccccc5c4)ccc23)-c2ccc(-c3cc4ccccc4c4ccccc34)c3cccc1c23
CZ-DPS-DMAC,57,94,0.07,0.3960000000000003,4.283,3.697,0.586,True,True,1283.1,329995,CC1(C)c2ccccc2N(c2ccc(S(=O)(=O)c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc2)c2ccccc21
TPA-2,58,92,0.07,0.1399999999999996,3.069,2.637,0.432,True,True,1424.4,665409,O=C1c2ccccc2C(=O)c2c1ccc1nc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)nc21
BMIM,58,90,0.14,0.528,3.458,2.516,0.942,True,True,1557.1,655843,N#Cc1nc2c(nc1C#N)-c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc-2c13
CZ9CZPZ,58,90,0.315,0.4609999999999998,4.172,3.303,0.869,True,True,1226.3,373542,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1cnc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cn1
2PCzBN,58,93,0.28,0.4059999999999997,4.292,3.607,0.685,True,True,1271.3,542942,N#Cc1c(-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cccc1-n1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21
APDC-DTPA,58,90,0.14,0.528,3.458,2.516,0.942,True,True,1551.8,655892,N#Cc1nc2c(nc1C#N)-c1ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc-2c13
BTZPP,58,100,0.3,0.5839999999999996,3.606,2.467,1.139,True,True,1311.0,572551,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4cccc5nsnc45)cc3)cc3c2cc(-c2ccc(-c4cccc5nsnc45)cc2)n3-c2ccc(C(C)(C)C)cc2)cc1
DPXZ-DPPM,58,88,0.05,0.266,3.669,2.816,0.853,True,True,1112.3,685097,O=C(c1ccccc1)c1ccc2nc3c4ccc(N5c6ccccc6Oc6ccccc65)cc4c4cc(N5c6ccccc6Oc6ccccc65)ccc4c3nc2c1
oDTPA-DTPZ,58,92,0.02,0.4849999999999999,3.632,2.497,1.135,True,True,1480.4,471425,c1ccc(N(c2ccccc2)c2ccc(-c3cc4nc5c(nc4cc3-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3sccc3c3ccsc35)cc2)cc1
PrDPhAc,58,96,0.07,0.6560000000000001,4.229,3.419,0.81,True,True,1804.5,937990,c1ccc(C2(c3ccccc3)c3ccccc3N(c3cncc(N4c5ccccc5C(c5ccccc5)(c5ccccc5)c5ccccc54)n3)c3ccccc32)cc1
ACID–BPPZ,59,93,0.02,0.4420000000000001,4.007,3.145,0.862,True,True,1701.4,325329,CC1(C)c2ccccc2N(c2ccc3c(c2)c2ccccc2c2nc4c5cccnc5c5ncccc5c4nc32)c2cc3c4ccccc4n(-c4ccccc4)c3cc21
2DN,59,108,0.07,0.1549999999999998,3.488,2.797,0.691,True,True,1587.1,342254,CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(N3c4ccccc4C(C)(C)c4ccccc43)cc3cc(N4c5ccccc5C(C)(C)c5ccccc54)cc(c23)C1=O
2Cz-DMAC-TTR,60,95,0.047,0.4349999999999996,3.928,3.593,0.335,True,True,1468.9,552265,CC1(C)c2cc(-n3c4ccccc4c4ccccc43)ccc2N(c2ccc3c(c2)S(=O)(=O)c2ccccc2S3(=O)=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21
CNPP-TPA,60,92,0.045,0.4740000000000002,3.64,2.874,0.766,True,True,1410.6,444714,N#Cc1nc2c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)nc3c3nc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc3c2nc1C#N
BDQC-2,60,98,0.12,0.351,3.981,3.122,0.859,True,True,1122.5,538633,c1ccc(-c2ccc(N(c3ccc(-c4ccccc4)cc3)c3ccc4c5ccccc5n(-c5ccc6nc(-c7ccccc7)c(-c7ccccc7)nc6c5)c4c3)cc2)cc1
BCZ-DPS-AD,60,103,0.13,0.4199999999999999,4.381,3.685,0.696,True,True,1957.8,997637,CC1(C)c2ccccc2N(c2cc(N3c4ccccc4C(C)(C)c4ccccc43)cc(S(=O)(=O)c3ccc4c(c3)c3ccccc3n4-c3ccccc3)c2)c2ccccc21
β-DI-DBP,61,94,0.12,0.2730000000000001,3.808,2.856,0.952,True,True,1370.3,449426,c1ccc(-n2c3ccccc3c3c2c2c4ccccc4n(-c4ccc5nc6c7ccccc7c7ccccc7c6nc5c4)c2c2c4ccccc4n(-c4ccccc4)c32)cc1
TPD4PA,61,96,0.05,0.3930000000000002,3.99,3.415,0.575,True,True,1631.2,566483,c1ccc(N(c2ccccc2)c2cc3c4c(c2)N(c2ccccc2)c2cc5c6c(c2B4c2ccccc2N3c2ccccc2)Oc2ccccc2B6c2ccccc2O5)cc1
DTPTCzDP-CN,61,108,0.03,0.415,3.829,3.246,0.583,True,True,1861.2,614703,CC(C)(C)c1nc(-c2ccc(-n3c4ccc(N(c5ccccc5)c5ccccc5)cc4c4cc(N(c5ccccc5)c5ccccc5)ccc43)c(C#N)c2)nc(C(C)(C)C)n1
PIAnTPh,61,99,1.14,1.0179999999999998,3.824,2.186,1.638,True,True,1442.2,478282,c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccccc5)cc4)c4ccccc34)c2)cc1
DPIBPZ-DPXZ,62,92,0.05,0.2640000000000002,3.602,2.792,0.81,True,True,1363.5,901234,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1cc(N3c4ccccc4Oc4ccccc43)ccc1c1nc3cc(-c4cncnc4)c(-c4cncnc4)cc3nc21
CDBP-BP-PXZ,62,101,0.096,0.3619999999999996,4.061,3.342,0.719,True,True,1409.0,403573,Cc1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccc(-n2c3ccccc3c3cc(C(=O)c4ccc(N5c6ccccc6Oc6ccccc65)cc4)ccc32)cc1C
BPZPP,62,94,0.2,0.3050000000000001,3.712,2.731,0.981,True,True,1383.2,1036881,c1ccc(-c2cc3nc4c5ccc(N6c7ccccc7Oc7ccccc76)nc5c5nc(N6c7ccccc7Oc7ccccc76)ccc5c4nc3cc2-c2ccccc2)cc1
4CzIPN,62,94,0.0865,0.2120000000000002,3.852,3.24,0.612,True,True,1770.6,545581,N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21
MPPA,62,104,0.16,0.3570000000000002,3.509,2.987,0.522,True,True,1268.9,560533,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)C(=O)c3ccc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)cc3C4=O)cc2)cc1
TrisCz-Trz,63,99,0.065,0.2390000000000003,4.101,3.583,0.518,True,True,2361.5,809304,c1ccc(-n2c3ccccc3c3ccccc32)c(-c2nc(-c3ccccc3-n3c4ccccc4c4ccccc43)nc(-c3ccccc3-n3c4ccccc4c4ccccc43)n2)c1
TCzTrz,63,99,0.14,0.3080000000000003,4.328,3.446,0.882,True,True,2337.5,546044,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)n2)cc1
PyIAnTPh,63,101,1.14,0.9620000000000002,3.816,2.185,1.631,True,True,1649.6,486519,c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4ccc(-c5nc6c7cccc8ccc9cccc(c9c87)c6n5-c5ccccc5)cc4)c4ccccc34)c2)cc1
CzDCbTrz,63,97,0.12,0.3029999999999999,4.31,3.44,0.87,True,True,2102.9,465627,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ncccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ncccc54)c3)n2)cc1
BDPCC,63,102,0.11,0.4439999999999999,4.476,3.492,0.984,True,True,1643.8,666740,c1ccc(-c2ccc3[nH]c4c(-c5ccc6c([nH]c7ccccc76)c5-c5cc(-c6ccccc6)cc6c5[nH]c5ccc(-c7ccccc7)cc56)cc(-c5ccccc5)cc4c3c2)cc1
DMAC-Cz-TTR,63,104,0.066,0.4159999999999999,4.554,3.672,0.882,True,True,1778.0,416381,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2n3-c2ccc3c(c2)S(=O)(=O)c2ccccc2S3(=O)=O)c2ccccc21
ANQDC-PSTA,63,92,0.08,0.173,3.172,2.684,0.488,True,True,1831.6,425522,N#Cc1cc2nc3c(nc2cc1C#N)-c1ccc(N2c4ccc(-c5ccccc5)cc4C4(c5ccccc5-c5ccccc54)c4ccc5c(sc6ccccc65)c42)c2cccc-3c12
TCPZ,63,101,0.14,0.72,2.995,1.871,1.124,True,True,1471.9,1223554,C1=C(c2cccc(-n3c4ccccc4c4ccccc43)c2)NN(c2cccc(-n3c4ccccc4c4ccccc43)c2)N=C1c1cccc(-n2c3ccccc3c3ccccc32)c1
PBICT,64,99,0.08,0.4060000000000001,4.321,3.346,0.975,True,True,2230.0,528671,c1ccc(-c2nc(-n3c4ccccc4c4ccc5c6ccccc6n(-c6ccccc6)c5c43)nc(-n3c4ccccc4c4ccc5c6ccccc6n(-c6ccccc6)c5c43)n2)cc1
DBQ-3PXZ,64,99,0.03,0.1920000000000001,3.638,3.047,0.591,True,True,1656.5,760848,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nc3ccc(N4c5ccccc5Oc5ccccc54)cc3nc2-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)cc1
CDBP-BP-DMAC,64,109,0.043,0.2730000000000001,4.051,3.432,0.619,True,True,1629.6,454562,Cc1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccc(-n2c3ccccc3c3cc(C(=O)c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)ccc32)cc1C
9CzFDBFSPO,65,105,0.12,0.4700000000000002,4.702,3.571,1.131,True,True,1371.8,564171,O=P(c1ccccc1)(c1ccccc1)c1cccc2c1oc1ccc(-c3ccc(C4(c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc5-c5ccccc54)cc3)cc12
2CzTPEPCz,65,106,0.13,0.5690000000000004,4.168,2.937,1.231,True,True,2028.3,717341,C(=C(c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1
DPACPhTPI,65,112,0.72,0.3860000000000001,4.359,3.251,1.108,True,True,1891.5,634277,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(N5c6ccccc6C(c6ccccc6)(c6ccccc6)c6ccccc65)cc4)cc3)nc3c4ccccc4c4ccccc4c32)cc1
TPXZ-as-TAZ,66,102,0.22,0.2069999999999998,3.431,2.65,0.781,True,True,1597.3,803966,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)n2)cc1
SPAC-FO,66,104,0.13,0.221,3.531,2.988,0.543,True,True,2055.1,333864,O=C1c2ccc(N3c4ccccc4C4(c5ccccc5-c5ccccc54)c4ccccc43)cc2-c2cc(N3c4ccccc4C4(c5ccccc5-c5ccccc54)c4ccccc43)ccc21
CZ-TRZ,66,108,0.15,0.4209999999999998,4.512,3.472,1.04,True,True,1523.2,427526,Cc1cc(-c2nc(-c3ccc(-n4c5ccccc5c5ccccc54)c(C)c3)nc(-c3ccc(-n4c5ccccc5c5ccccc54)c(C)c3)n2)ccc1-n1c2ccccc2c2ccccc21
TPXZ–as-TAZ,66,102,0.03,0.2139999999999999,3.431,2.65,0.781,True,True,1581.6,803950,c1ccc2c(c1)Oc1ccccc1N2c1ccc(-c2nnc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)n2)cc1
SFAC-BP-SFAC,66,106,0.036,0.1259999999999999,3.977,3.382,0.595,True,True,2266.7,400452,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3ccccc32)cc1
BDAPM,66,110,0.06,0.4300000000000001,3.993,3.393,0.6,True,True,1803.5,433787,O=C(c1ccc(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)cc1)c1ccc(N2c3ccccc3[Si](c3ccccc3)(c3ccccc3)c3ccccc32)cc1
PFBP-2b,68,128,0.06,0.2810000000000001,4.107,3.659,0.448,True,True,2186.9,584153,CC(C)(C)c1ccc2c(c1)C(C)(C)c1cc(C(C)(C)C)ccc1N2c1c(F)c(F)c(-c2c(F)c(F)c(N3c4ccc(C(C)(C)C)cc4C(C)(C)c4cc(C(C)(C)C)ccc43)c(F)c2F)c(F)c1F
NAI–PhBiFA,68,114,0.12,0.5609999999999999,3.877,2.659,1.218,True,True,1649.2,641084,Cc1c(-c2ccccc2)cc(N2C(=O)c3cccc4c(-c5ccc(N(c6ccc(-c7ccccc7)cc6)c6ccc7c(c6)C(C)(C)c6ccccc6-7)cc5)ccc(c34)C2=O)cc1-c1ccccc1
2PCzBN-tPh,68,115,0.26,0.3199999999999998,4.24,3.495,0.745,True,True,2135.2,649076,CC(C)(C)c1ccc(-c2cc(-n3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc43)c(C#N)c(-n3c4ccc(-c5ccccc5)cc4c4cc(-c5ccccc5)ccc43)c2)cc1
m2Cz2Trz,68,106,0.09,0.2559999999999998,4.027,3.353,0.674,True,True,2518.1,791512,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-c4nc(-c5ccccc5)nc(-c5ccccc5)n4)c(-n4c5ccccc5c5ccccc54)cc3-n3c4ccccc4c4ccccc43)n2)cc1
SXAC-BP-SXAC,68,108,0.061,0.1340000000000003,3.972,3.378,0.594,True,True,2404.1,364369,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4Oc4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4Oc4ccccc43)c3ccccc32)cc1
STAC-BP-STAC,68,108,0.052,0.1379999999999999,3.974,3.379,0.595,True,True,2183.1,397452,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4Sc4ccccc43)c3ccccc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4Sc4ccccc43)c3ccccc32)cc1
TDBA-DI,68,116,0.11,0.4779999999999997,4.21,3.359,0.851,True,True,2061.6,869128,CC(C)(C)c1ccc2c(c1)B1c3cc(C(C)(C)C)ccc3Oc3cc(-n4c5ccccc5c5c6c(c7ccccc7n6-c6ccccc6)c6c(c7ccccc7n6-c6ccccc6)c54)cc(c31)O2
3DPA3CN,69,111,0.10300000000000001,0.3319999999999998,3.982,3.096,0.886,True,True,1555.1,949407,N#Cc1c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)c1-c1ccc(N(c2ccccc2)c2ccccc2)cc1
AI-4Cz,69,106,0.02,0.2889999999999997,3.729,3.218,0.511,True,True,2375.4,521122,O=C1c2c(c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)c2-n2c3ccccc3c3ccccc32)C(=O)N1c1ccccc1
3DMAC-BP-Br,71,121,0.04,0.0540000000000002,3.567,2.883,0.684,True,True,1839.6,461387,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4cc(N5c6ccccc6C(C)(C)c6ccccc65)c(Br)cc4nc32)c2ccccc21
BTPBFCz-D3,71,108,0.12,0.3919999999999999,4.201,3.468,0.733,True,True,2239.3,1024579,c1ccc(-c2nc(-c3ccc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)cc3-n3c4ccccc4c4c5oc6ccccc6c5ccc43)c3sc4ccccc4c3n2)cc1
3DMAC-BP-CN,72,122,0.02,0.4449999999999998,3.42,2.87,0.55,True,True,1916.8,464059,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4cc(N5c6ccccc6C(C)(C)c6ccccc65)c(C#N)cc4nc32)c2ccccc21
DDPhCz-DPPZ,72,112,0.16,0.3080000000000003,3.739,2.808,0.931,True,True,2339.2,1197643,c1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2-n2c3ccc(-c4ccccc4)cc3c3cc(-c4ccccc4)ccc32)cc1
tBuCzDBA,72,144,0.052500000000000005,0.0629999999999997,3.791,3.167,0.624,True,True,2550.8,1341204,Cc1cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)cc(C)c1B1c2ccccc2B(c2c(C)cc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2C)c2ccccc21
2SPBAC-BP,74,118,0.22,0.5829999999999997,3.976,3.036,0.94,True,True,2596.9,443946,O=C(c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3cc4ccccc4cc32)cc1)c1ccc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3cc4ccccc4cc32)cc1
12BTCzTPN,76,112,0.05586,0.2789999999999999,3.656,3.179,0.477,True,True,2923.3,847308,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccc4c5ccccc5sc4c32)c(C#N)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccc3c4ccccc4sc3c21
Me2ACBO,77,129,0.05,0.431,4.196,3.488,0.708,True,True,2625.1,1395371,CC(C)(c1ccc2c(c1)B1c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3Oc3cccc(c31)O2)c1ccc2c(c1)B1c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3Oc3cccc(c31)O2
DV-3CzCN,77,127,0.23,0.3540000000000001,4.249,3.382,0.867,True,True,2344.2,1222590,C=Cc1ccc(COc2cccc3c2c2ccccc2n3-c2cc(-n3c4ccccc4c4c(OCc5ccc(C=C)cc5)cccc43)c(C#N)c(-n3c4ccccc4c4c(OCc5ccc(C=C)cc5)cccc43)c2)cc1
PO-TPA,79,137,0.2,0.601,2.808,1.65,1.158,True,True,2464.5,1621179,CC(C)(C)c1ccc(N(c2ccc(-c3cc4c(cc3C#N)=NC3c5ccc(P(=O)(c6ccccc6)c6ccccc6)nc5-c5nc(P(=O)(c6ccccc6)c6ccccc6)ccc5C3N=4)cc2)c2ccc(C(C)(C)C)cc2)cc1
PTPC,80,141,0.6355,0.3729999999999998,4.368,3.259,1.109,True,True,3137.3,773730,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2ccc(-c3cc(-c4ccccc4)c(-c4ccc(-c5nc6c7ccccc7c7ccccc7c6n5-c5ccccc5)cc4)cc3-c3ccccc3)cc2)cc1
F2AcBO,87,141,0.07500000000000001,0.3980000000000001,4.179,3.495,0.684,True,True,3566.7,1663496,CC1(C)c2ccccc2N(c2ccc3c(c2)Oc2cccc4c2B3c2cc(C3(c5ccc6c(c5)B5c7ccc(N8c9ccccc9C(C)(C)c9ccccc98)cc7Oc7cccc(c75)O6)c5ccccc5-c5ccccc53)ccc2O4)c2ccccc21
4F-ν-DABNA,90,140,0.05,0.3529999999999997,3.855,3.35,0.505,True,True,4916.7,777321,Fc1cccc(F)c1N1c2cc3c(cc2B2c4ccccc4N(c4ccccc4)c4cc(N(c5ccccc5)c5ccccc5)cc1c42)B1c2ccccc2N(c2ccccc2)c2cc(N(c4ccccc4)c4ccccc4)cc(c21)N3c1c(F)cccc1F
DVCz-2CzCN,94,167,0.18,0.3900000000000001,4.225,3.4,0.825,True,True,5651.1,1352023,C=Cc1ccc(COc2cccc3c2c2ccccc2n3CCCCCCOc2cccc3c2c2ccccc2n3-c2cccc(-n3c4ccccc4c4c(OCCCCCCn5c6ccccc6c6c(OCc7ccc(C=C)cc7)cccc65)cccc43)c2C#N)cc1
m-ν-DABNA,94,164,0.07,0.3600000000000003,3.813,3.319,0.494,True,True,5485.4,1528108,Cc1cccc(N(c2cccc(C)c2)c2cc3c4c(c2)N(c2ccccc2)c2cc5c(cc2B4c2ccc(C)cc2N3c2cccc(C)c2)B2c3ccc(C)cc3N(c3cccc(C)c3)c3cc(N(c4cccc(C)c4)c4cccc(C)c4)cc(c32)N5c2ccccc2)c1
4F-m-ν-DABNA,98,164,0.07,0.3499999999999996,3.86,3.354,0.506,True,True,7514.2,1556374,Cc1cccc(N(c2cccc(C)c2)c2cc3c4c(c2)N(c2c(F)cccc2F)c2cc5c(cc2B4c2ccc(C)cc2N3c2cccc(C)c2)B2c3ccc(C)cc3N(c3cccc(C)c3)c3cc(N(c4cccc(C)c4)c4cccc(C)c4)cc(c32)N5c2c(F)cccc2F)c1
BPCP-2CPC,98,166,0.166,0.2839999999999998,4.07,3.276,0.794,True,True,7416.8,1209853,N#Cc1cc(-n2c3ccccc3c3cc(-c4ccc(C5(c6ccc(-n7c8ccccc8c8ccccc87)cc6)CCCCC5)cc4)ccc32)c(-n2c3ccccc3c3cc(-c4ccc(C5(c6ccc(-n7c8ccccc8c8ccccc87)cc6)CCCCC5)cc4)ccc32)cc1C#N
