molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_000047,Nc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1S(=O)(=O)O,PubChem_filtered,489.49,489.49,1.86,3.0,3,13.0,13,4.0,4,5,9,206.95,4,33
MOL_000048,Nc1cccc2c1C(=O)c1c(Nc3ccccc3C(=O)O)cccc1C2=O,PubChem_filtered,358.35,358.35,3.49,3.0,3,6.0,6,3.0,3,3,5,109.49,4,27
MOL_000049,O=C1c2ccccc2C(=O)c2c(Nc3cccc4c3C(=O)c3ccccc3C4=O)cccc21,PubChem_filtered,429.43,429.43,4.98,4.0,4,5.0,5,2.0,2,1,5,80.31,6,33
MOL_000050,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],PubChem_filtered,259.74,259.74,-1.01,3.0,3,3.0,3,0.0,0,2,2,55.92,3,18
MOL_000051,Nc1c2ccccc2nc2ccccc12,PubChem_filtered,194.24,194.24,2.97,3.0,3,2.0,2,0.0,0,1,2,38.91,3,15
MOL_000052,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N,PubChem_filtered,237.31,237.31,3.17,3.0,3,3.0,3,0.0,0,2,3,64.93,3,18
MOL_000053,Nc1ccc2cc3ccc(N)cc3nc2c1,PubChem_filtered,209.25,209.25,2.55,3.0,3,3.0,3,0.0,0,2,3,64.93,3,16
MOL_000054,O=C1c2ccccc2C(=O)c2c(Nc3cccc4c3C(=O)c3cccc(Nc5cccc6c5C(=O)c5ccccc5C6=O)c3C4=O)cccc21,PubChem_filtered,650.65,650.65,7.5,6.0,6,8.0,8,4.0,4,2,8,126.48,9,50
MOL_000055,Cl.Nc1c2ccccc2nc2ccccc12,PubChem_filtered,230.7,230.7,3.39,3.0,3,2.0,2,0.0,0,1,2,38.91,3,16
MOL_000056,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N.Cl,PubChem_filtered,273.77,273.77,3.59,3.0,3,3.0,3,0.0,0,2,3,64.93,3,19
MOL_000057,CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12.Cl.Cl,PubChem_filtered,479.28,479.28,6.26,3.0,3,4.0,4,9.0,9,1,4,37.39,3,29
MOL_000058,CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,PubChem_filtered,406.36,406.36,5.41,3.0,3,4.0,4,9.0,9,1,4,37.39,3,27
MOL_000059,c1ccc2c(c1)ccc1cc3cc4ccc5cccc6ccc(c3nc12)c4c56,PubChem_filtered,353.42,353.42,7.44,7.0,7,1.0,1,0.0,0,0,1,12.89,7,28
MOL_000060,c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,PubChem_filtered,279.34,279.34,5.69,5.0,5,1.0,1,0.0,0,0,1,12.89,5,22
MOL_000061,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,PubChem_filtered,279.34,279.34,5.69,5.0,5,1.0,1,0.0,0,0,1,12.89,5,22
