molecule_id,SMILES_canonical,source,MW,MW,LogP,n_aromatic_rings,n_aromatic_rings,n_heteroatoms,n_heteroatoms,n_rotatable_bonds,n_rotatable_bonds,n_hbd,n_hba,tpsa,n_rings,n_atoms
MOL_007858,CC(C)S(=O)(=O)c1cccc(N(Cc2cc(Cl)c(N)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,521.43,521.43,4.35,3.0,3,9.0,9,8.0,8,1,7,123.32,3,34
MOL_007859,COc1ccnc(C(=O)CC(=O)N(Cc2cn(S(=O)(=O)c3ccccc3)c3ccccc23)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,611.68,611.68,4.18,5.0,5,12.0,12,10.0,10,0,8,131.77,5,44
MOL_007860,CN(C)C(=O)c1cccc(N(Cc2ccc(F)c(F)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,438.43,438.43,3.26,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007861,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,501.37,501.37,4.3,3.0,3,8.0,8,8.0,8,0,6,92.7,3,34
MOL_007862,CN(C)C(=O)c1cccc(N(Cc2cccc(Cl)c2F)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,454.89,454.89,3.78,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007863,CN(C)C(=O)c1cccc(N(Cc2ccccc2F)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,420.44,420.44,3.12,3.0,3,7.0,7,7.0,7,0,5,83.47,3,31
MOL_007864,CN(C)C(=O)c1cccc(N(Cc2ccc(Br)c(Br)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,560.25,560.25,4.51,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007865,Cc1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1C(=O)N(C)C,PubChem_filtered,485.37,485.37,4.6,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007866,CN(C)C(=O)c1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)ccc1Cl,PubChem_filtered,505.79,505.79,4.94,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007867,CN(C)C(=O)c1cccc(N(Cc2cc(Cl)c(N)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,486.36,486.36,3.87,3.0,3,8.0,8,7.0,7,1,6,109.49,3,33
MOL_007868,CN(C)C(=O)c1cccc(N(Cc2ccc(O)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,452.9,452.9,3.34,3.0,3,8.0,8,7.0,7,1,6,103.7,3,32
MOL_007869,COc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,466.93,466.93,3.65,3.0,3,8.0,8,8.0,8,0,6,92.7,3,33
MOL_007870,CN(C)C(=O)c1cccc(N(Cc2ccc(C(F)(F)F)cc2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,470.45,470.45,4.0,3.0,3,7.0,7,7.0,7,0,5,83.47,3,34
MOL_007871,CC(C)c1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1,PubChem_filtered,444.54,444.54,4.11,3.0,3,7.0,7,8.0,8,0,5,83.47,3,33
MOL_007872,CC(=O)Nc1cc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)ccc1Cl,PubChem_filtered,493.95,493.95,3.6,3.0,3,9.0,9,8.0,8,1,6,112.57,3,35
MOL_007873,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)c(NS(C)(=O)=O)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,530.01,530.01,3.01,3.0,3,11.0,11,9.0,9,1,7,129.64,3,36
MOL_007874,O=C(O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,444.27,444.27,4.29,3.0,3,7.0,7,7.0,7,1,5,100.46,3,30
MOL_007875,CNC(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,457.32,457.32,3.95,3.0,3,7.0,7,7.0,7,1,5,92.26,3,31
MOL_007876,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1cccc(C(=O)N2CCCC2)c1)c1ncccn1,PubChem_filtered,497.38,497.38,4.83,3.0,3,7.0,7,7.0,7,0,5,83.47,4,34
MOL_007877,CN(C)C(=O)c1cc(C(=O)N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,542.42,542.42,3.99,3.0,3,9.0,9,8.0,8,0,6,103.78,3,37
MOL_007878,CNC(=O)c1cc(C(=O)N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,528.4,528.4,3.65,3.0,3,9.0,9,8.0,8,1,6,112.57,3,36
MOL_007879,CN(C)C(=O)c1cc(C(N)=O)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,514.37,514.37,3.39,3.0,3,9.0,9,8.0,8,1,6,126.56,3,35
MOL_007880,CN(C)C(=O)c1cc(C#N)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,496.35,496.35,4.16,3.0,3,8.0,8,7.0,7,0,6,107.26,3,34
MOL_007881,Cc1nc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cc(C#N)cc(C(=O)N(C)C)c2)n[nH]1,PubChem_filtered,499.36,499.36,3.8,3.0,3,9.0,9,7.0,7,1,6,123.05,3,34
MOL_007882,NC(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,443.29,443.29,3.69,3.0,3,7.0,7,7.0,7,1,5,106.25,3,30
MOL_007883,CN(C)C(=O)c1cccc(N(Cc2cc(Cl)c(O)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,487.34,487.34,4.0,3.0,3,8.0,8,7.0,7,1,6,103.7,3,33
MOL_007884,CC(C)Oc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,494.98,494.98,4.43,3.0,3,8.0,8,9.0,9,0,6,92.7,3,35
MOL_007885,Cc1cnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)nc1,PubChem_filtered,485.37,485.37,4.6,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007886,CN(C)C(=O)c1cccc(N(Cc2cccc(C(F)(F)F)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,470.45,470.45,4.0,3.0,3,7.0,7,7.0,7,0,5,83.47,3,34
MOL_007887,CSc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1,PubChem_filtered,448.55,448.55,3.71,3.0,3,8.0,8,8.0,8,0,6,83.47,3,32
MOL_007888,CN(C)C(=O)c1cccc(N(Cc2cccc(-c3nccs3)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,485.57,485.57,4.11,4.0,4,9.0,9,8.0,8,0,7,96.36,4,35
MOL_007889,CN(C)C(=O)c1cccc(N(Cc2ccc(NC(=O)OCc3ccccc3)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,586.05,586.05,5.39,4.0,4,10.0,10,10.0,10,1,7,121.8,4,42
MOL_007890,CC(=O)Nc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,493.95,493.95,3.6,3.0,3,9.0,9,8.0,8,1,6,112.57,3,35
MOL_007891,CN(C)C(=O)c1cccc(N(Cc2ccc(N)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,451.91,451.91,3.22,3.0,3,8.0,8,7.0,7,1,6,109.49,3,32
MOL_007892,CC(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,442.3,442.3,4.79,3.0,3,6.0,6,7.0,7,0,5,80.23,3,30
MOL_007893,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)cc2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,436.9,436.9,3.64,3.0,3,7.0,7,7.0,7,0,5,83.47,3,31
MOL_007894,Cc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,450.93,450.93,3.95,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007895,CCOc1ccc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,480.95,480.95,4.04,3.0,3,8.0,8,9.0,9,0,6,92.7,3,34
MOL_007896,CN(C)C(=O)c1cccc(N(Cc2cccc(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,436.9,436.9,3.64,3.0,3,7.0,7,7.0,7,0,5,83.47,3,31
MOL_007897,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(OC)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,496.95,496.95,3.66,3.0,3,9.0,9,9.0,9,0,7,101.93,3,35
MOL_007898,CN(C)C(=O)c1cccc(N(Cc2ccc(F)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,454.89,454.89,3.78,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007899,CC(=O)Nc1cc(C(=O)N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,528.4,528.4,4.25,3.0,3,9.0,9,8.0,8,1,6,112.57,3,36
MOL_007900,CN(C)C(=N)c1cc(N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,513.43,513.43,4.54,3.0,3,8.0,8,8.0,8,1,6,93.49,3,35
MOL_007901,CN(C)C(=O)c1cccc(N(Cc2cc(Cl)c(N(C)C)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,514.41,514.41,4.36,3.0,3,8.0,8,8.0,8,0,6,86.71,3,35
MOL_007902,COc1c(Cl)cc(CN(C(=O)CC(=O)c2ncccn2)c2cccc(C(=O)N(C)C)c2)cc1Cl,PubChem_filtered,501.37,501.37,4.3,3.0,3,8.0,8,8.0,8,0,6,92.7,3,34
MOL_007903,CN(C)C(=O)c1cc(C#N)cc(N(Cc2cccc(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,461.91,461.91,3.51,3.0,3,8.0,8,7.0,7,0,6,107.26,3,33
MOL_007904,COc1ccnc(C(=O)CC(=O)N(Cc2cccc(Cl)c2)c2cc(C#N)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,491.94,491.94,3.52,3.0,3,9.0,9,8.0,8,0,7,116.49,3,35
MOL_007905,Cc1nc(C(=O)CC(=O)N(Cc2cccc(Cl)c2)c2cc(C#N)cc(C(=O)N(C)C)c2)n[nH]1,PubChem_filtered,464.91,464.91,3.15,3.0,3,9.0,9,7.0,7,1,6,123.05,3,33
MOL_007906,Cc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,485.37,485.37,4.6,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007907,CN(C)C(=O)c1cccc(N(Cc2cc(Cl)cc(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,471.34,471.34,4.29,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007908,COc1ccnc(C(=O)CC(=O)N(Cc2cc(Cl)c(N)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,516.39,516.39,3.88,3.0,3,9.0,9,8.0,8,1,7,118.72,3,35
MOL_007909,CN(C)C(=O)c1cc(C(N)=O)cc(N(Cc2cccc(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,479.92,479.92,2.74,3.0,3,9.0,9,8.0,8,1,6,126.56,3,34
MOL_007910,COc1ccnc(C(=O)CC(=O)N(Cc2cccc(Cl)c2)c2cc(C(N)=O)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,509.95,509.95,2.75,3.0,3,10.0,10,9.0,9,1,7,135.79,3,36
MOL_007911,CN(C)C(=O)c1cc(Cl)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,505.79,505.79,4.94,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007912,O=C(O)c1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc(C(F)(F)F)c1,PubChem_filtered,512.27,512.27,5.31,3.0,3,7.0,7,7.0,7,1,5,100.46,3,34
MOL_007913,COc1ccnc(C(=O)CC(=O)N(Cc2cccc(Cl)c2F)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,484.92,484.92,3.79,3.0,3,8.0,8,8.0,8,0,6,92.7,3,34
MOL_007914,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2F)c2cc(C(=O)N(C)C)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,590.44,590.44,4.14,3.0,3,10.0,10,9.0,9,0,7,113.01,3,40
MOL_007915,CNC(=O)c1cc(C(=O)N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2F)C(=O)CC(=O)c2nccc(OC)n2)c1,PubChem_filtered,576.41,576.41,3.8,3.0,3,10.0,10,9.0,9,1,7,121.8,3,39
MOL_007916,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2F)c2cc(C(N)=O)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,562.39,562.39,3.54,3.0,3,10.0,10,9.0,9,1,7,135.79,3,38
MOL_007917,CN(C)C(=O)c1cc(C(N)=O)cc(N(Cc2ccc(Cl)c(Cl)c2F)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,532.36,532.36,3.53,3.0,3,9.0,9,8.0,8,1,6,126.56,3,36
MOL_007918,CN(C)C(=O)c1cc(N(Cc2ccc(Cl)c(Cl)c2F)C(=O)CC(=O)c2ncccn2)cc(C(F)(F)F)c1,PubChem_filtered,557.33,557.33,5.45,3.0,3,7.0,7,7.0,7,0,5,83.47,3,37
MOL_007919,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2F)c2cc(C#N)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,544.37,544.37,4.31,3.0,3,9.0,9,8.0,8,0,7,116.49,3,37
MOL_007920,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cc(NC(C)=O)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,558.42,558.42,4.26,3.0,3,10.0,10,9.0,9,1,7,121.8,3,38
MOL_007921,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(F)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,484.92,484.92,3.79,3.0,3,8.0,8,8.0,8,0,6,92.7,3,34
MOL_007922,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)cc2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,466.93,466.93,3.65,3.0,3,8.0,8,8.0,8,0,6,92.7,3,33
MOL_007923,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ccccn2)c1,PubChem_filtered,470.36,470.36,4.9,3.0,3,6.0,6,7.0,7,0,4,70.58,3,32
MOL_007924,COCC(=O)Nc1cc(C(=O)N(C)C)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,558.42,558.42,3.88,3.0,3,10.0,10,10.0,10,1,7,121.8,3,38
MOL_007925,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(C)=O)c2)n1,PubChem_filtered,472.33,472.33,4.8,3.0,3,7.0,7,8.0,8,0,6,89.46,3,32
MOL_007926,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)c1,PubChem_filtered,500.38,500.38,4.91,3.0,3,7.0,7,8.0,8,0,5,79.81,3,34
MOL_007927,COc1ccnc(C(=O)CC(=O)N(Cc2cccc(Cl)c2)c2cccc(C(=O)N(C)C)c2)c1,PubChem_filtered,465.94,465.94,4.25,3.0,3,7.0,7,8.0,8,0,5,79.81,3,33
MOL_007928,CN(C)C(=O)c1cc(NC(=O)c2ncccn2)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,592.44,592.44,4.33,4.0,4,11.0,11,9.0,9,1,8,138.35,4,41
MOL_007929,CCC(C)c1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,527.45,527.45,5.8,3.0,3,7.0,7,9.0,9,0,5,83.47,3,36
MOL_007930,CC(C)Oc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,529.42,529.42,5.08,3.0,3,8.0,8,9.0,9,0,6,92.7,3,36
MOL_007931,CN(C)C(=O)c1cccc(N(Cc2ccc3ccccc3n2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,453.5,453.5,3.53,4.0,4,8.0,8,7.0,7,0,6,96.36,4,34
MOL_007932,CNc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,500.39,500.39,4.33,3.0,3,8.0,8,8.0,8,1,6,95.5,3,34
MOL_007933,COc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cc(Cl)cc(C(=O)N(C)C)c2)n1,PubChem_filtered,535.82,535.82,4.95,3.0,3,8.0,8,8.0,8,0,6,92.7,3,35
MOL_007934,CN(C)C(=O)c1cc(O)cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,487.34,487.34,4.0,3.0,3,8.0,8,7.0,7,1,6,103.7,3,33
MOL_007935,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)C(C(=O)c2ccccc2)C(=O)c2ncccn2)c1,PubChem_filtered,575.45,575.45,5.4,4.0,4,8.0,8,9.0,9,0,6,100.54,4,40
MOL_007936,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2nccc(N3CCCC3)n2)c1,PubChem_filtered,540.45,540.45,4.89,3.0,3,8.0,8,8.0,8,0,6,86.71,4,37
MOL_007937,CCOc1ccnc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C(=O)N(C)C)c2)n1,PubChem_filtered,515.4,515.4,4.69,3.0,3,8.0,8,9.0,9,0,6,92.7,3,35
MOL_007938,CN(C)C(=O)c1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2nccc(OC(C)(C)C)n2)c1,PubChem_filtered,543.45,543.45,5.47,3.0,3,8.0,8,8.0,8,0,6,92.7,3,37
MOL_007939,CN(C)C(=O)c1cccc(N(Cc2ccc3ncccc3c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,453.5,453.5,3.53,4.0,4,8.0,8,7.0,7,0,6,96.36,4,34
MOL_007940,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1cccc([N+](=O)[O-])c1)c1ncccn1,PubChem_filtered,445.26,445.26,4.5,3.0,3,8.0,8,7.0,7,0,6,106.3,3,30
MOL_007941,CN(C)C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,471.34,471.34,4.29,3.0,3,7.0,7,7.0,7,0,5,83.47,3,32
MOL_007942,N#Cc1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,425.28,425.28,4.46,3.0,3,6.0,6,6.0,6,0,5,86.95,3,29
MOL_007943,Cc1nc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2cccc(C#N)c2)n[nH]1,PubChem_filtered,428.28,428.28,4.1,3.0,3,7.0,7,6.0,6,1,5,102.74,3,29
MOL_007944,CN(C)C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl,PubChem_filtered,505.79,505.79,4.94,3.0,3,7.0,7,7.0,7,0,5,83.47,3,33
MOL_007945,O=C(O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,444.27,444.27,4.29,3.0,3,7.0,7,7.0,7,1,5,100.46,3,30
MOL_007946,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(C(=O)N2CCCC2)cc1)c1ncccn1,PubChem_filtered,497.38,497.38,4.83,3.0,3,7.0,7,7.0,7,0,5,83.47,4,34
MOL_007947,N#Cc1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,425.28,425.28,4.46,3.0,3,6.0,6,6.0,6,0,5,86.95,3,29
MOL_007948,Cc1nc(C(=O)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc2)n[nH]1,PubChem_filtered,428.28,428.28,4.1,3.0,3,7.0,7,6.0,6,1,5,102.74,3,29
MOL_007949,CCN(CC)C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,499.4,499.4,5.07,3.0,3,7.0,7,9.0,9,0,5,83.47,3,34
MOL_007950,CNC(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,457.32,457.32,3.95,3.0,3,7.0,7,7.0,7,1,5,92.26,3,31
MOL_007951,CN(C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1)c1ccccc1,PubChem_filtered,533.42,533.42,5.87,4.0,4,7.0,7,8.0,8,0,5,83.47,4,37
MOL_007952,CN(CCO)C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,501.37,501.37,3.65,3.0,3,8.0,8,9.0,9,1,6,103.7,3,34
MOL_007953,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(C(=O)N2CCOCC2)cc1)c1ncccn1,PubChem_filtered,513.38,513.38,4.06,3.0,3,8.0,8,7.0,7,0,6,92.7,4,35
MOL_007954,NC(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,443.29,443.29,3.69,3.0,3,7.0,7,7.0,7,1,5,106.25,3,30
MOL_007955,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1cccc(C(F)(F)F)c1)c1ncccn1,PubChem_filtered,468.26,468.26,5.61,3.0,3,5.0,5,6.0,6,0,4,63.16,3,31
MOL_007956,CC(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1,PubChem_filtered,442.3,442.3,4.79,3.0,3,6.0,6,7.0,7,0,5,80.23,3,30
MOL_007957,CSc1cccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,446.36,446.36,5.31,3.0,3,6.0,6,7.0,7,0,5,63.16,3,29
MOL_007958,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(C(=O)O)c(Cl)c1)c1ncccn1,PubChem_filtered,478.72,478.72,4.94,3.0,3,7.0,7,7.0,7,1,5,100.46,3,31
MOL_007959,NC(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl,PubChem_filtered,477.74,477.74,4.34,3.0,3,7.0,7,7.0,7,1,5,106.25,3,31
MOL_007960,CNC(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl,PubChem_filtered,491.76,491.76,4.6,3.0,3,7.0,7,7.0,7,1,5,92.26,3,32
MOL_007961,CN(C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl)c1ccccc1,PubChem_filtered,567.86,567.86,6.52,4.0,4,7.0,7,8.0,8,0,5,83.47,4,38
MOL_007962,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(C(=O)N2CCCC2)c(Cl)c1)c1ncccn1,PubChem_filtered,531.83,531.83,5.48,3.0,3,7.0,7,7.0,7,0,5,83.47,4,35
MOL_007963,CN(CCO)C(=O)c1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl,PubChem_filtered,535.82,535.82,4.31,3.0,3,8.0,8,9.0,9,1,6,103.7,3,35
MOL_007964,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(C(=O)N2CCOCC2)c(Cl)c1)c1ncccn1,PubChem_filtered,547.83,547.83,4.72,3.0,3,8.0,8,7.0,7,0,6,92.7,4,36
MOL_007965,N#Cc1cccc(N(Cc2cc(Cl)c(N)c(Cl)c2)C(=O)CC(=O)c2ncccn2)c1,PubChem_filtered,440.29,440.29,4.04,3.0,3,7.0,7,6.0,6,1,6,112.97,3,30
MOL_007966,COc1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)ccc1C(=O)O,PubChem_filtered,474.3,474.3,4.3,3.0,3,8.0,8,8.0,8,1,6,109.69,3,32
MOL_007967,COc1ccc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)cc1Cl,PubChem_filtered,464.74,464.74,5.25,3.0,3,6.0,6,7.0,7,0,5,72.39,3,30
MOL_007968,O=C(CC(=O)N(Cc1ccc(Cl)c(Cl)c1)c1ccc(O)c(Cl)c1)c1ncccn1,PubChem_filtered,450.71,450.71,4.95,3.0,3,6.0,6,6.0,6,1,5,83.39,3,29
MOL_007969,COc1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)ccc1C(=O)N1CCCC1,PubChem_filtered,527.41,527.41,4.83,3.0,3,8.0,8,8.0,8,0,6,92.7,4,36
MOL_007970,COc1cc(N(Cc2ccc(Cl)c(Cl)c2)C(=O)CC(=O)c2ncccn2)ccc1C(=O)N(C)C,PubChem_filtered,501.37,501.37,4.3,3.0,3,8.0,8,8.0,8,0,6,92.7,3,34
