molecule_id,SMILES_canonical,source,MW,MW.1,LogP,n_aromatic_rings,n_aromatic_rings.1,n_heteroatoms,n_heteroatoms.1,n_rotatable_bonds,n_rotatable_bonds.1,n_hbd,n_hba,tpsa,n_rings,n_atoms,predicted_delta_e,tadf_score,selected_for_detailed_calc
MOL_004597,COc1ccc2c(=O)c3cc([N+](=O)[O-])ccc3n(C)c2c1,PubChem_filtered,284.27,284.27,2.61,3.0,3,6.0,6,2.0,2,0,4,74.37,3,21,0.1222462857142857,0.9443842857142857,True
MOL_004596,COc1cccc2c1c(=O)c1cc([N+](=O)[O-])ccc1n2C,PubChem_filtered,284.27,284.27,2.61,3.0,3,6.0,6,2.0,2,0,4,74.37,3,21,0.1222462857142857,0.9443842857142857,True
MOL_022138,CN(C)c1ccc(-c2n[nH]c(=S)n2N=Cc2ccccn2)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_009213,CN(C)c1ccc(C=Nn2c(-c3cccnc3)n[nH]c2=S)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_009212,CN(C)c1ccc(C=Nn2c(-c3ccncc3)n[nH]c2=S)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_022137,CN(C)c1ccc(-c2n[nH]c(=S)n2N=Cc2ccncc2)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_022136,CN(C)c1ccc(-c2n[nH]c(=S)n2N=Cc2cccnc2)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_010464,CN(C)c1ccc(C=Nn2c(-c3ccccn3)n[nH]c2=S)cc1,PubChem_filtered,324.41,324.41,2.95,3.0,3,7.0,7,4.0,4,1,5,62.1,3,23,0.12232742857142853,0.9441814285714286,True
MOL_001867,Nc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,239.23,239.23,2.88,3.0,3,5.0,5,1.0,1,1,4,82.05,3,18,0.12245847619047612,0.9438538095238096,True
MOL_001870,Nc1c2ccccc2nc2ccc([N+](=O)[O-])cc12,PubChem_filtered,239.23,239.23,2.88,3.0,3,5.0,5,1.0,1,1,4,82.05,3,18,0.12245847619047612,0.9438538095238096,True
MOL_000193,Nc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,PubChem_filtered,239.23,239.23,2.88,3.0,3,5.0,5,1.0,1,1,4,82.05,3,18,0.12245847619047612,0.9438538095238096,True
MOL_005489,Cc1sc2nc3n(c(=O)c2c1C)N=CN(c1ccc(F)cc1)C3,PubChem_filtered,328.37,328.37,3.03,3.0,3,6.0,6,1.0,1,0,5,50.49,4,23,0.12260628571428567,0.9434842857142858,True
MOL_002181,O=C(O)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,311.3,311.3,3.18,3.0,3,7.0,7,5.0,5,2,5,105.36,3,23,0.12267999999999996,0.9433,True
MOL_005023,Cl.O=[N+]([O-])c1cccc2nc3ccccc3c(NCCO)c12,PubChem_filtered,319.75,319.75,3.12,3.0,3,6.0,6,4.0,4,2,5,88.29,3,22,0.12292857142857139,0.9426785714285715,True
MOL_006294,O=NNc1ccc2cc3ccc(NN=O)cc3nc2c1,PubChem_filtered,267.25,267.25,3.57,3.0,3,7.0,7,4.0,4,2,5,95.81,3,20,0.12292857142857139,0.9426785714285715,True
MOL_006325,COc1ccc2[nH]c3c([N+](=O)[O-])ccc(Cl)c3c(=O)c2c1,PubChem_filtered,304.69,304.69,3.25,3.0,3,6.0,6,2.0,2,1,4,85.23,3,21,0.12294685714285714,0.9426328571428572,True
MOL_009106,N#Cc1nc(-c2ccco2)oc1N1CCN(c2ccccc2)CC1,PubChem_filtered,320.35,320.35,3.13,3.0,3,6.0,6,3.0,3,0,6,69.44,4,24,0.12323142857142855,0.9419214285714286,True
MOL_009935,O=C(Nc1ccc2nccnc2c1)N1CCN(c2ccccc2)CC1,PubChem_filtered,333.4,333.4,2.98,3.0,3,6.0,6,2.0,2,1,4,61.36,4,25,0.1232685714285714,0.9418285714285715,True
MOL_003093,Nc1c2ccc(Cl)cc2nc2ccc(OP(=O)(O)O)cc12,PubChem_filtered,324.66,324.66,3.1,3.0,3,6.0,6,2.0,2,3,4,105.67,3,21,0.12337028571428571,0.9415742857142857,True
MOL_009385,Cc1nc2ccccc2c2c1C(=O)N(c1ccc(C(=O)O)cc1)C2=O,PubChem_filtered,332.31,332.31,3.04,3.0,3,6.0,6,2.0,2,1,4,87.57,4,25,0.12348171428571425,0.9412957142857143,True
MOL_005263,COc1ccc2nc3cccc([N+](=O)[O-])c3c(NCCCO)c2c1,PubChem_filtered,327.34,327.34,3.1,3.0,3,7.0,7,6.0,6,2,6,97.52,3,24,0.12382971428571432,0.9404257142857142,True
MOL_009117,CN(C)c1cccc2c(S(=O)(=O)Nc3ccccn3)cccc12,PubChem_filtered,327.41,327.41,3.1,3.0,3,6.0,6,4.0,4,1,4,62.3,3,23,0.12384171428571428,0.9403957142857142,True
MOL_002539,CN(C)c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1,PubChem_filtered,327.41,327.41,3.1,3.0,3,6.0,6,4.0,4,1,4,62.3,3,23,0.12384171428571428,0.9403957142857142,True
MOL_010113,COc1cc(N2C(=O)c3ccccc3C2=O)c2ncccc2c1OC,PubChem_filtered,334.33,334.33,3.05,3.0,3,6.0,6,3.0,3,0,5,68.73,4,25,0.12402799999999997,0.93993,True
MOL_020937,Cc1noc2ncnc(N3CCN(c4cccc(Cl)c4)CC3)c12,PubChem_filtered,329.79,329.79,2.91,3.0,3,6.0,6,2.0,2,0,6,58.29,4,23,0.12404971428571426,0.9398757142857143,True
MOL_001877,CN(C)CCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12,PubChem_filtered,310.36,310.36,3.27,3.0,3,6.0,6,5.0,5,1,5,71.3,3,23,0.12431885714285712,0.9392028571428571,True
MOL_001831,CN(C)CCNc1c2ccccc2nc2ccc([N+](=O)[O-])cc12,PubChem_filtered,310.36,310.36,3.27,3.0,3,6.0,6,5.0,5,1,5,71.3,3,23,0.12431885714285712,0.9392028571428571,True
MOL_001833,CN(C)CCNc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,PubChem_filtered,310.36,310.36,3.27,3.0,3,6.0,6,5.0,5,1,5,71.3,3,23,0.12431885714285712,0.9392028571428571,True
MOL_002813,CN(C)CCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,PubChem_filtered,310.36,310.36,3.27,3.0,3,6.0,6,5.0,5,1,5,71.3,3,23,0.12431885714285712,0.9392028571428571,True
