CID,SMILES,MW,n_aromatic_rings,n_heteroatoms,n_rotatable_bonds,has_donor,has_acceptor
11106,Cc1cc2nc3ccc(N(C)C)cc3nc2cc1N,252.32,3,4,1,True,True
11111,Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,307.33,3,8,0,True,True
11352,Nc1cccc2nc3ccccc3cc12,194.24,3,2,0,True,True
11353,Nc1cccc2cc3ccccc3nc12,194.24,3,2,0,True,True
11384,Nc1ccc2nc3ccccc3cc2c1,194.24,3,2,0,True,True
11385,Nc1ccc2cc3ccccc3nc2c1,194.24,3,2,0,True,True
11886,Cc1cccc2cc3ccccc3nc12,193.25,3,1,0,True,True
11913,Cc1c2ccccc2nc2ccccc12,193.25,3,1,0,True,True
11938,Cc1ccc2nc3ccccc3cc2c1,193.25,3,1,0,True,True
13277,C[n+]1c2ccc(N)cc2cc2cc(N)ccc21,224.29,3,3,0,True,True
13476,CN(C)c1ccc(C=Cc2ccnc3ccccc23)cc1,274.37,3,2,3,True,True
13713,Nc1ccc2c(N)c3ccccc3nc2c1,209.25,3,3,0,True,True
13757,Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1,257.34,4,1,0,True,True
13976,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,312.33,5,4,0,True,True
14001,N#CC(CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)(c1ccccc1)c1ccccc1,450.59,3,5,6,True,True
14168,C[NH+](C)CCC[NH2+]c1c2ccccc2nc2ccccc12.[Cl-].[Cl-],352.31,3,3,5,True,True
14169,CN(C)CCCNc1c2ccccc2nc2ccccc12,279.39,3,3,5,True,True
14889,Nc1ccc([NH2+]c2ccc(N)c3c2C(=O)c2ccccc2C3=O)c2c1C(=O)c1ccccc1C2=O.O=S([O-])[O-].[Na+],563.52,4,11,2,True,True
14974,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)CCN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,866.97,3,18,7,True,True
15151,Cc1c2ccc3ccccc3c2nc2c1cc1ccc3cccc4ccc2c1c34,367.45,7,1,0,True,True
15789,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,343.38,3,7,3,True,True
16549,CCc1cccc(CC)c1N(C#N)c1c(CC)cccc1CC,306.45,2,2,6,True,True
16936,Cc1ccc2c(C)c3ccc4ccccc4c3nc2c1,257.34,4,1,0,True,True
17409,Nc1c(S(=O)(=O)[O-])cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c2)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],626.55,3,16,8,True,True
17410,Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O,582.59,3,16,8,True,True
17574,CC(=O)N(C)c1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1,465.49,3,10,4,True,True
17704,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[Cl-],388.94,3,2,4,True,True
17705,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,353.49,3,2,4,True,True
18412,CCCCCCOc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1.[Cl-],405.97,4,2,7,True,True
18413,CCCCCCOc1ccc(-c2c3ccccc3[n+](C)c3ccccc23)cc1,370.52,4,2,7,True,True
18641,O=c1c2ccccc2c(=O)c2c1ccc1c3ccc4c(O)c5ccccc5c5ccc(nc12)c3c45,449.47,8,4,0,True,True
18690,COc1ccc2nc3ccccc3cc2c1,209.25,3,2,1,True,True
18757,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,270.34,4,2,2,True,True
18864,NNc1c2ccccc2nc2ccccc12,209.25,3,3,1,True,True
18865,Nc1ccc2nc3cc(N)ccc3cc2c1,209.25,3,3,0,True,True
18866,Nc1c2ccccc2nc2cc(Cl)ccc12,228.68,3,2,0,True,True
18867,COc1ccc2nc3ccccc3c(N)c2c1,224.26,3,3,1,True,True
19011,CN1C(=O)CN=C(c2ccccc2)c2cc(C#N)ccc21,275.31,2,4,1,True,True
19035,Cc1ccc2ccc3cc4ccccc4nc3c2c1,243.31,4,1,0,True,True
19080,COc1ccc2nc3cc(Cl)ccc3c(N)c2c1,258.71,3,3,1,True,True
19081,Cc1cccc2c(N)c3ccccc3nc12,208.26,3,2,0,True,True
19611,CC[n+]1c(C=Cc2ccc(N3CCCC3)cc2)cccc1C=Cc1ccc(N2CCCC2)cc1.[I-],577.55,3,3,7,True,True
19612,CC[n+]1c(C=Cc2ccc(N3CCCC3)cc2)cccc1C=Cc1ccc(N2CCCC2)cc1,450.65,3,3,7,True,True
19866,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21.[Cl-],451.8,2,5,6,True,True
19867,CCN(CC)CCN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21,415.34,2,5,6,True,True
20193,COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1.Cl.Cl,541.78,3,4,11,True,True
20194,COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1,468.86,3,4,11,True,True
20302,CC[NH+](CCCl)CC[NH2+]c1c2ccccc2nc2c1ccc1ccccc12.[Cl-].[Cl-],450.84,4,3,7,True,True
20303,CCN(CCCl)CCNc1c2ccccc2nc2c1ccc1ccccc12,377.92,4,3,7,True,True
20419,Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,314.34,3,4,2,True,True
20431,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1.[Na+].[Na+],622.59,4,12,6,True,True
20432,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)O)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1,578.62,4,12,6,True,True
20538,C[NH+](C)CCCN1C(=O)C[NH+]=C(c2ccccn2)c2cc(Br)ccc21.[Cl-].[Cl-],474.23,2,5,5,True,True
20539,CN(C)CCCN1C(=O)C[NH+]=C(c2ccccn2)c2cc(Br)ccc21,402.32,2,5,5,True,True
20551,Cc1cc(C)c(S(=O)(=O)[O-])c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)[O-])c2C)c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],678.7,4,12,6,True,True
20552,Cc1cc(C)c(S(=O)(=O)O)c(C)c1Nc1ccc(Nc2c(C)cc(C)c(S(=O)(=O)O)c2C)c2c1C(=O)c1ccccc1C2=O,634.73,4,12,6,True,True
20628,CN(C)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,324.38,3,6,6,True,True
21062,Cc1ccc2c(c1Nc1ccccc1)C(=O)c1ccccc1C2=O,313.36,3,3,2,True,True
21211,COC(=O)c1c2ccccc2nc2ccccc12,237.26,3,3,1,True,True
21234,Cc1cc2cc3ccc(N(C)C)cc3nc2cc1N,251.33,3,3,1,True,True
21509,Cc1cc2cc3ccc([NH+](C)C)cc3nc2cc1N.[Cl-],287.79,3,3,1,True,True
21769,C1=C(CCc2ccncc2)c2ccccc2[NH+]1Cc1ccccc1.[Cl-],348.88,3,2,5,True,True
21997,C[n+]1c2ccccc2c(N)c2ccccc21.[Cl-],244.72,3,2,0,True,True
21998,C[n+]1c2ccccc2c(N)c2ccccc21,209.27,3,2,0,True,True
21999,C[n+]1c2ccccc2cc2ccccc21.[Cl-],229.71,3,1,0,True,True
22000,C[n+]1c2ccccc2cc2ccccc21,194.26,3,1,0,True,True
22231,Nc1c2ccccc2nc2ccc(-c3ccccc3)cc12,270.33,4,2,1,True,True
22394,C[n+]1c2cc(N)ccc2cc2ccc([NH3+])cc21.[Cl-].[Cl-],296.2,3,3,0,True,True
22417,Cc1cc(N(CCO)CCC#N)ccc1N=Nc1ccc([N+](=O)[O-])cc1,353.38,2,8,8,True,True
22525,Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.[Cl-],417.98,4,3,4,True,True
22526,Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,382.53,4,3,4,True,True
22527,CC[NH+](CC)CCCC(C)[NH2+]c1c2ccc(Cl)cc2nc2ccc(OC)cc12.[Cl-].[Cl-],472.89,3,4,9,True,True
22602,CN(C)CCCNc1c2ccccc2nc2ccc([N+](=O)[O-])cc12,324.38,3,6,6,True,True
22603,C[NH+](C)CCC[NH2+]c1c2ccccc2nc2ccc([N+](=O)[O-])cc12.[Cl-].[Cl-],397.31,3,6,6,True,True
22604,CN(C)CCCNc1c2ccccc2nc2cc([N+](=O)[O-])ccc12,324.38,3,6,6,True,True
22708,CC[NH+](CC)CCCC[NH2+]c1c2ccc(Cl)cc2nc2ccc(OC)cc12.[Cl-].[Cl-],458.86,3,4,9,True,True
22709,CCN(CC)CCCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,385.94,3,4,9,True,True
22902,Cc1cc(C)c(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1,436.49,3,8,3,True,True
22916,Nc1c(S(=O)(=O)O)cc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O,394.41,3,8,3,True,True
22935,CC(=O)Nc1ccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc1.[Na+],474.45,3,10,4,True,True
